Time:8400,AccPitch:111.78, AccRoll:102.57
Time:8406,AccPitch:109.54, AccRoll:101.06
Time:8412,AccPitch:111.44, AccRoll:101.98
Time:8418,AccPitch:109.49, AccRoll:101.53
Time:8424,AccPitch:108.86, AccRoll:101.26
Time:8430,AccPitch:109.32, AccRoll:101.57
Time:8435,AccPitch:110.85, AccRoll:102.27
Time:8441,AccPitch:109.55, AccRoll:101.68
Time:8447,AccPitch:110.54, AccRoll:102.38
Time:8453,AccPitch:110.00, AccRoll:101.62
Time:8459,AccPitch:110.65, AccRoll:101.90
Time:8465,AccPitch:111.27, AccRoll:102.33
Time:8471,AccPitch:111.04, AccRoll:102.37
Time:8477,AccPitch:111.62, AccRoll:102.92
Time:8483,AccPitch:111.67, AccRoll:102.82
Time:8489,AccPitch:111.59, AccRoll:102.55
Time:8494,AccPitch:110.89, AccRoll:101.79
Time:8500,AccPitch:112.47, AccRoll:102.86
Time:8506,AccPitch:110.71, AccRoll:102.09
Time:8512,AccPitch:110.22, AccRoll:102.01
Time:8518,AccPitch:111.26, AccRoll:102.16
Time:8524,AccPitch:109.35, AccRoll:101.06
Time:8530,AccPitch:110.59, AccRoll:101.91
Time:8536,AccPitch:109.61, AccRoll:101.68
Time:8542,AccPitch:111.33, AccRoll:102.35
Time:8547,AccPitch:110.39, AccRoll:101.99
Time:8553,AccPitch:110.30, AccRoll:101.61
Time:8559,AccPitch:111.28, AccRoll:102.59
Time:8565,AccPitch:111.33, AccRoll:102.62
Time:8571,AccPitch:110.92, AccRoll:102.07
Time:8577,AccPitch:110.63, AccRoll:102.64
Time:8583,AccPitch:109.58, AccRoll:101.37
Time:8589,AccPitch:111.22, AccRoll:102.17
Time:8595,AccPitch:112.53, AccRoll:102.98
Time:8600,AccPitch:110.26, AccRoll:101.54
Time:8606,AccPitch:110.99, AccRoll:102.19
Time:8612,AccPitch:110.47, AccRoll:101.94
Time:8618,AccPitch:110.29, AccRoll:102.26
Time:8624,AccPitch:111.68, AccRoll:102.44
Time:8630,AccPitch:111.46, AccRoll:102.66
Time:8636,AccPitch:110.31, AccRoll:101.71
Time:8642,AccPitch:110.58, AccRoll:101.85
Time:8648,AccPitch:111.33, AccRoll:102.68
Time:8654,AccPitch:109.55, AccRoll:101.23
Time:8659,AccPitch:109.84, AccRoll:101.44
Time:8665,AccPitch:110.19, AccRoll:101.96
Time:8671,AccPitch:112.26, AccRoll:103.17
Time:8677,AccPitch:110.25, AccRoll:101.95
Time:8683,AccPitch:111.93, AccRoll:102.65
Time:8689,AccPitch:110.80, AccRoll:102.17
Time:8695,AccPitch:109.89, AccRoll:101.77
Time:8701,AccPitch:110.84, AccRoll:102.01
Time:8707,AccPitch:109.89, AccRoll:101.61
