Time:7363,AccPitch:-044.70, AccRoll:059.97
Time:7369,AccPitch:-039.28, AccRoll:060.45
Time:7375,AccPitch:-060.71, AccRoll:057.98
Time:7381,AccPitch:-032.49, AccRoll:048.32
Time:7387,AccPitch:006.36, AccRoll:070.36
Time:7393,AccPitch:138.89, AccRoll:094.64
Time:7398,AccPitch:049.67, AccRoll:044.74
Time:7404,AccPitch:147.30, AccRoll:165.38
Time:7410,AccPitch:129.67, AccRoll:161.72
Time:7416,AccPitch:138.93, AccRoll:158.46
Time:7422,AccPitch:135.13, AccRoll:147.06
Time:7428,AccPitch:130.04, AccRoll:134.48
Time:7434,AccPitch:146.71, AccRoll:138.76
Time:7440,AccPitch:107.90, AccRoll:100.58
Time:7446,AccPitch:123.23, AccRoll:100.28
Time:7451,AccPitch:122.53, AccRoll:097.70
Time:7457,AccPitch:016.40, AccRoll:078.80
Time:7463,AccPitch:-002.14, AccRoll:075.48
Time:7469,AccPitch:032.64, AccRoll:071.51
Time:7475,AccPitch:094.80, AccRoll:095.74
Time:7481,AccPitch:102.24, AccRoll:100.51
Time:7487,AccPitch:096.00, AccRoll:096.46
Time:7493,AccPitch:098.09, AccRoll:100.07
Time:7499,AccPitch:097.15, AccRoll:100.19
Time:7505,AccPitch:101.83, AccRoll:105.55
Time:7510,AccPitch:095.07, AccRoll:095.95
Time:7516,AccPitch:091.54, AccRoll:091.64
Time:7522,AccPitch:093.63, AccRoll:092.72
Time:7528,AccPitch:095.56, AccRoll:093.18
Time:7534,AccPitch:099.81, AccRoll:095.08
Time:7540,AccPitch:111.62, AccRoll:101.17
Time:7546,AccPitch:115.66, AccRoll:104.74
Time:7552,AccPitch:119.67, AccRoll:107.64
Time:7558,AccPitch:122.77, AccRoll:109.18
Time:7564,AccPitch:118.40, AccRoll:105.93
Time:7569,AccPitch:118.74, AccRoll:106.13
Time:7575,AccPitch:113.29, AccRoll:102.54
Time:7581,AccPitch:111.84, AccRoll:102.54
Time:7587,AccPitch:114.18, AccRoll:103.91
Time:7593,AccPitch:102.67, AccRoll:096.84
Time:7599,AccPitch:100.82, AccRoll:095.51
Time:7605,AccPitch:106.93, AccRoll:098.62
Time:7611,AccPitch:106.94, AccRoll:098.26
Time:7617,AccPitch:108.63, AccRoll:099.50
Time:7622,AccPitch:115.11, AccRoll:103.00
Time:7628,AccPitch:115.66, AccRoll:103.30
Time:7634,AccPitch:118.30, AccRoll:105.47
Time:7640,AccPitch:119.51, AccRoll:105.95
Time:7646,AccPitch:118.02, AccRoll:104.65
Time:7652,AccPitch:117.18, AccRoll:104.24
Time:7658,AccPitch:113.44, AccRoll:101.95
Time:7664,AccPitch:109.55, AccRoll:100.58
Time:7670,AccPitch:107.47, AccRoll:099.74
Time:7676,AccPitch:105.79, AccRoll:099.43
Time:7681,AccPitch:105.86, AccRoll:100.46
Time:7687,AccPitch:103.42, AccRoll:099.17
Time:7693,AccPitch:103.72, AccRoll:099.55
Time:7699,AccPitch:103.34, AccRoll:099.75
Time:7705,AccPitch:103.38, AccRoll:099.06
Time:7711,AccPitch:101.88, AccRoll:097.76
Time:7717,AccPitch:104.35, AccRoll:098.18
Time:7723,AccPitch:106.35, AccRoll:099.75
Time:7729,AccPitch:108.42, AccRoll:101.13
Time:7734,AccPitch:109.87, AccRoll:101.89
Time:7740,AccPitch:110.16, AccRoll:102.84
Time:7746,AccPitch:111.58, AccRoll:102.69
Time:7752,AccPitch:109.68, AccRoll:101.35
Time:7758,AccPitch:108.91, AccRoll:100.54
Time:7764,AccPitch:110.62, AccRoll:101.16
Time:7770,AccPitch:110.68, AccRoll:100.94
Time:7776,AccPitch:111.22, AccRoll:101.45
Time:7782,AccPitch:110.22, AccRoll:101.23
Time:7788,AccPitch:112.69, AccRoll:102.62
Time:7793,AccPitch:112.18, AccRoll:102.99
Time:7799,AccPitch:111.39, AccRoll:102.23
Time:7805,AccPitch:111.85, AccRoll:102.64
Time:7811,AccPitch:111.21, AccRoll:102.44
Time:7817,AccPitch:106.96, AccRoll:099.54
Time:7823,AccPitch:107.35, AccRoll:099.63
Time:7829,AccPitch:107.73, AccRoll:100.12
Time:7835,AccPitch:107.40, AccRoll:100.17
Time:7841,AccPitch:107.76, AccRoll:100.67
Time:7846,AccPitch:108.37, AccRoll:101.35
Time:7852,AccPitch:108.59, AccRoll:101.45
Time:7858,AccPitch:110.82, AccRoll:102.15
Time:7864,AccPitch:108.31, AccRoll:100.69
Time:7870,AccPitch:108.72, AccRoll:100.53
Time:7876,AccPitch:109.13, AccRoll:101.04
Time:7882,AccPitch:108.25, AccRoll:100.39
Time:7888,AccPitch:110.62, AccRoll:102.39
Time:7894,AccPitch:110.18, AccRoll:102.17
Time:7899,AccPitch:109.71, AccRoll:101.80
Time:7905,AccPitch:109.96, AccRoll:101.81
Time:7911,AccPitch:108.52, AccRoll:100.45
Time:7917,AccPitch:108.38, AccRoll:100.85
Time:7923,AccPitch:110.75, AccRoll:101.94
Time:7929,AccPitch:108.58, AccRoll:100.85
Time:7935,AccPitch:108.29, AccRoll:100.73
Time:7941,AccPitch:109.52, AccRoll:101.55
Time:7947,AccPitch:110.16, AccRoll:101.74
Time:7953,AccPitch:109.94, AccRoll:101.76
